# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,HH,    Q
  260,20250916,    1,    0
  260,20250916,    2,    0
  260,20250916,    3,    0
  260,20250916,    4,    0
  260,20250916,    5,    0
  260,20250916,    6,    5
  260,20250916,    7,   37
  260,20250916,    8,   83
  260,20250916,    9,   94
  260,20250916,   10,  124
  260,20250916,   11,  112
  260,20250916,   12,  100
  260,20250916,   13,   85
  260,20250916,   14,   19
  260,20250916,   15,   34
  260,20250916,   16,   52
  260,20250916,   17,   48
  260,20250916,   18,    6
  260,20250916,   19,    0
  260,20250916,   20,    0
  260,20250916,   21,    0
  260,20250916,   22,    0
  260,20250916,   23,    0
  260,20250916,   24,    0
  260,20250917,    1,    0
  260,20250917,    2,    0
  260,20250917,    3,    0
  260,20250917,    4,    0
  260,20250917,    5,    0
  260,20250917,    6,    5
  260,20250917,    7,   12
  260,20250917,    8,   21
  260,20250917,    9,   37
  260,20250917,   10,   60
  260,20250917,   11,   57
  260,20250917,   12,   54
  260,20250917,   13,   68
  260,20250917,   14,   58
  260,20250917,   15,   22
  260,20250917,   16,   15
  260,20250917,   17,   10
  260,20250917,   18,    1
  260,20250917,   19,    0
  260,20250917,   20,    0
  260,20250917,   21,    0
  260,20250917,   22,    0
  260,20250917,   23,    0
  260,20250917,   24,    0
  260,20250918,    1,    0
  260,20250918,    2,    0
  260,20250918,    3,    0
  260,20250918,    4,    0
  260,20250918,    5,    0
  260,20250918,    6,    0
  260,20250918,    7,    5
  260,20250918,    8,   13
  260,20250918,    9,   17
  260,20250918,   10,   31
  260,20250918,   11,   43
  260,20250918,   12,   49
  260,20250918,   13,   45
  260,20250918,   14,   70
  260,20250918,   15,   30
  260,20250918,   16,   21
  260,20250918,   17,    9
  260,20250918,   18,    2
  260,20250918,   19,    0
  260,20250918,   20,    0
  260,20250918,   21,    0
  260,20250918,   22,    0
  260,20250918,   23,    0
  260,20250918,   24,    0
  260,20250919,    1,    0
  260,20250919,    2,    0
  260,20250919,    3,    0
  260,20250919,    4,    0
  260,20250919,    5,    0
  260,20250919,    6,    6
  260,20250919,    7,   39
  260,20250919,    8,   64
  260,20250919,    9,  134
  260,20250919,   10,  196
  260,20250919,   11,  224
  260,20250919,   12,  223
  260,20250919,   13,  212
  260,20250919,   14,  202
  260,20250919,   15,  152
  260,20250919,   16,  111
  260,20250919,   17,   50
  260,20250919,   18,    7
  260,20250919,   19,    0
  260,20250919,   20,    0
  260,20250919,   21,    0
  260,20250919,   22,    0
  260,20250919,   23,    0
  260,20250919,   24,    0
  260,20250920,    1,    0
  260,20250920,    2,    0
  260,20250920,    3,    0
  260,20250920,    4,    0
  260,20250920,    5,    0
  260,20250920,    6,    2
  260,20250920,    7,   19
  260,20250920,    8,   49
  260,20250920,    9,   78
  260,20250920,   10,  145
  260,20250920,   11,   77
  260,20250920,   12,   17
  260,20250920,   13,   22
  260,20250920,   14,   34
  260,20250920,   15,   73
  260,20250920,   16,   72
  260,20250920,   17,   28
  260,20250920,   18,    4
  260,20250920,   19,    0
  260,20250920,   20,    0
  260,20250920,   21,    0
  260,20250920,   22,    0
  260,20250920,   23,    0
  260,20250920,   24,    0
  260,20250921,    1,    0
  260,20250921,    2,    0
  260,20250921,    3,    0
  260,20250921,    4,    0
  260,20250921,    5,    0
  260,20250921,    6,    2
  260,20250921,    7,   27
  260,20250921,    8,   28
  260,20250921,    9,   76
  260,20250921,   10,  102
  260,20250921,   11,  101
  260,20250921,   12,   95
  260,20250921,   13,  120
  260,20250921,   14,  122
  260,20250921,   15,  154
  260,20250921,   16,   75
  260,20250921,   17,   43
  260,20250921,   18,    7
  260,20250921,   19,    0
  260,20250921,   20,    0
  260,20250921,   21,    0
  260,20250921,   22,    0
  260,20250921,   23,    0
  260,20250921,   24,    0
  260,20250922,    1,    0
  260,20250922,    2,    0
  260,20250922,    3,    0
  260,20250922,    4,    0
  260,20250922,    5,    0
  260,20250922,    6,    2
  260,20250922,    7,   26
  260,20250922,    8,   86
  260,20250922,    9,  153
  260,20250922,   10,  165
  260,20250922,   11,  146
  260,20250922,   12,  199
  260,20250922,   13,  217
  260,20250922,   14,  186
  260,20250922,   15,  164
  260,20250922,   16,  109
  260,20250922,   17,   48
  260,20250922,   18,    4
  260,20250922,   19,    0
  260,20250922,   20,    0
  260,20250922,   21,    0
  260,20250922,   22,    0
  260,20250922,   23,    0
  260,20250922,   24,    0
