Time(UTC),swd_1,swu_1,lwd_1,lwu_1,t_rad_1
2025-09-16 13:30:00,146.2854,34.5451,364.4223,380.2448,13.9895
2025-09-16 14:00:00,43.0401,9.8345,366.0706,375.9586,13.131
2025-09-16 14:30:00,60.388,14.5151,365.0669,375.2037,11.493
2025-09-16 15:00:00,123.8662,30.6725,361.2483,380.0312,12.37
2025-09-16 15:30:00,226.2111,58.8786,347.1098,382.3604,13.6231
2025-09-16 16:00:00,135.8518,35.9261,346.1011,379.7435,14.26
2025-09-16 16:30:00,189.0845,54.7706,322.5498,380.6465,15.0814
2025-09-16 17:00:00,110.4405,35.7422,303.1665,375.0059,14.8257
2025-09-16 17:30:00,36.263,11.3279,303.8723,370.8656,13.7001
2025-09-16 18:00:00,4.6274,1.6245,327.5586,370.4805,12.9419
2025-09-16 18:30:00,-0.3839,0.4935,349.9616,372.4618,12.9892
2025-09-16 19:00:00,-0.6303,0.3803,351.4113,372.8639,13.0636
2025-09-16 19:30:00,-1.7235,0.9243,314.8195,367.2858,12.6214
2025-09-16 20:00:00,-1.7372,1.2485,310.1096,363.4184,12.141
2025-09-16 20:30:00,-1.1755,1.0124,324.8078,364.3955,11.9277
2025-09-16 21:00:00,-1.1777,1.1024,324.1858,364.1812,11.7113
2025-09-16 21:30:00,-0.7937,0.7801,334.2669,366.7785,11.739
2025-09-16 22:00:00,-1.4761,1.1803,309.7094,364.494,11.6038
2025-09-16 22:30:00,-0.595,0.8749,340.1628,369.0812,11.8385
2025-09-16 23:00:00,-1.4842,1.0372,314.7084,367.4969,11.8119
2025-09-16 23:30:00,-1.5974,1.334,307.4181,366.0308,11.5695
2025-09-17 00:00:00,-1.8899,1.6004,299.7164,363.9548,11.4102
2025-09-17 00:30:00,-1.9157,1.7306,297.7597,362.6961,11.2303
2025-09-17 01:00:00,-1.8504,1.8139,297.1596,360.7625,11.0345
2025-09-17 01:30:00,-1.6635,1.6126,306.0396,360.2635,10.8453
2025-09-17 02:00:00,0.0524,1.0236,351.1328,368.7751,11.3734
2025-09-17 02:30:00,-1.9896,1.4319,301.9905,362.2182,11.3283
