Time(UTC),uu,uv,uw,uTs,uTc1,uH2O,vv,vw,vTs,vTc1,vH2O,ww,wTs,wTc1,wH2O,TsTs,Tc1Tc1,H2OH2O,u,v,w,Ts,Tc1,H2O,Uyp,WDy,WDyWDy,wgwg,wguy,wgTc2,uywg,uyTc2,Tc2Tc2,wg,Uy,Tc2,wdir_Y
2025-09-18 14:00:00,1.2978,0.1312,-0.1158,-0.0252,-0.0256,-0.000156,1.2032,-0.011,-0.0088,-0.0028,-1.6e-05,0.2222,0.0048,0.0104,4.6e-05,0.00679,0.00709,0.0,3.9132,0.1854,-0.0016,26.592,20.184,0.030504,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 14:30:00,1.359,-0.067833,-0.108833,0.019167,0.019833,-0.000166,0.875667,0.005167,-0.004833,-0.003167,3.4e-05,0.1995,-0.0095,0.0,3.8e-05,0.006861,0.004947,0.0,3.569667,-0.1685,0.004167,26.516667,20.091667,0.030303,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 15:00:00,1.219167,0.161,-0.073667,0.027,0.0265,-0.000108,1.370333,0.029667,-0.0095,-0.004,2e-05,0.204333,-0.0135,-0.003333,3.1e-05,0.010302,0.006453,0.0,3.571833,-0.197,-0.017667,26.51,20.081667,0.030135,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 15:30:00,1.026,-0.0375,-0.0855,0.029167,0.0275,-9e-05,1.064,0.018167,-0.010333,-0.007167,3.2e-05,0.195667,-0.016333,-0.004833,2.7e-05,0.012769,0.007744,0.0,3.0425,-0.755833,0.006667,26.506667,20.075,0.029917,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 16:00:00,0.704167,-0.0365,-0.0395,0.029,0.0285,-6.7e-05,0.624667,0.026167,-0.018333,-0.011833,3.2e-05,0.123,-0.0135,-0.0055,2.1e-05,0.013148,0.008742,0.0,2.619,-0.608333,-0.018167,26.491667,20.055,0.029887,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 16:30:00,0.821333,0.0905,-0.0545,0.029667,0.027833,-6.2e-05,0.7565,0.021833,-0.018167,-0.011667,2.5e-05,0.1235,-0.0145,-0.006333,1.9e-05,0.01517,0.010268,0.0,2.733167,-0.554833,-0.007667,26.496667,20.05,0.029848,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 17:00:00,0.6505,-0.0025,-0.045667,0.038333,0.0365,-5.1e-05,0.569833,0.02,-0.009667,-0.003667,8e-06,0.122333,-0.018,-0.008333,1.6e-05,0.019321,0.01199,0.0,2.524667,-0.771167,-0.014833,26.391667,19.926667,0.029832,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 17:30:00,0.679667,0.004667,-0.041833,0.045833,0.045,-4.8e-05,0.586667,0.024167,-0.0155,-0.011667,1.2e-05,0.096,-0.0165,-0.008667,1.2e-05,0.020544,0.012844,0.0,2.4215,-0.720667,-0.033,26.298333,19.818333,0.029923,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 18:00:00,0.373833,-0.064833,-0.031833,0.040167,0.038833,-3.4e-05,0.308333,0.0095,-0.019833,-0.018667,1.6e-05,0.077,-0.0165,-0.009333,1.1e-05,0.023613,0.015583,0.0,2.0955,-0.549833,-0.026667,26.128333,19.63,0.029973,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 18:30:00,0.581833,-0.028167,-0.048667,0.046833,0.0495,-5.1e-05,0.4745,0.019167,-0.0145,-0.0145,1.6e-05,0.091167,-0.016167,-0.009667,1.1e-05,0.019834,0.013533,0.0,2.324667,-0.562167,-0.0285,25.973333,19.471667,0.030053,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 19:00:00,1.159667,-0.129833,-0.102167,0.038667,0.043,-6.6e-05,1.0635,0.0585,-0.014333,-0.020333,2.8e-05,0.2195,-0.018667,-0.009833,1.6e-05,0.01575,0.008805,0.0,3.404333,-1.3755,-0.030333,25.708333,19.25,0.029643,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 19:30:00,0.886,0.020833,-0.0605,0.043,0.045167,-5.4e-05,0.7635,0.03,-0.000333,-0.007,1.2e-05,0.154833,-0.016,-0.008833,1.3e-05,0.015667,0.009312,0.0,2.927333,-1.232167,-0.0065,25.396667,18.968333,0.029152,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 20:00:00,0.652833,-0.105167,-0.060333,0.038833,0.039667,-4e-05,0.656333,0.029667,-0.0075,-0.017833,2e-05,0.112333,-0.013333,-0.009,1.2e-05,0.016427,0.010336,0.0,2.464,-0.965833,-0.017,25.2,18.78,0.028995,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 20:30:00,0.622167,-0.069833,-0.052667,0.038,0.037167,-3.7e-05,0.490333,0.017667,0.001,-0.0065,9e-06,0.098833,-0.0125,-0.0075,1e-05,0.017161,0.010851,0.0,2.404833,-0.753833,-0.015,25.146667,18.735,0.028883,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 21:00:00,0.425,-0.056667,-0.038,0.035,0.032333,-3.1e-05,0.376167,0.022667,-0.005,-0.01,1e-05,0.081833,-0.011833,-0.007333,9e-06,0.019044,0.012731,0.0,2.154333,-0.769167,-0.005,25.096667,18.685,0.0288,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 21:30:00,0.429167,-0.025167,-0.041,0.042167,0.039667,-3e-05,0.4155,0.011667,-0.005,-0.009667,1e-05,0.077,-0.0105,-0.006333,7e-06,0.019553,0.013148,0.0,2.072333,-0.524333,-0.02,24.991667,18.565,0.028957,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 22:00:00,0.243667,0.032333,-0.017,0.030333,0.023333,-9e-06,0.199833,0.0,0.001,-0.003,2e-06,0.0455,-0.0115,-0.006,4e-06,0.033367,0.019182,0.0,1.581,-0.279167,-0.015,24.685,18.238333,0.02915,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 22:30:00,0.391833,-0.024833,-0.037833,0.039833,0.032333,-2.9e-05,0.353333,0.007167,0.001833,-0.003833,3e-06,0.065167,-0.011667,-0.006167,8e-06,0.01827,0.009571,0.0,2.005,-0.022333,-0.015667,24.783333,18.306667,0.029407,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 23:00:00,0.5645,-0.008667,-0.034333,0.0355,0.033,-4.5e-05,0.535167,-0.007833,0.003333,0.000667,8e-06,0.0845,-0.011667,-0.0055,8e-06,0.017468,0.009867,0.0,2.591,-0.1055,-0.0195,24.808333,18.375,0.028923,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-18 23:30:00,0.434833,-0.035,-0.034167,0.041667,0.037333,-3.2e-05,0.378333,0.008333,-0.006667,-0.009,9e-06,0.079,-0.012333,-0.0075,8e-06,0.02245,0.013885,0.0,2.198,-0.383667,-0.011167,24.605,18.196667,0.028622,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 00:00:00,0.388333,-0.048333,-0.0285,0.0805,0.073333,-1.3e-05,0.301833,0.0155,-0.0255,-0.023667,6e-06,0.069667,-0.020833,-0.0125,3e-06,0.085069,0.053207,0.0,2.005,-0.148833,-0.007333,23.97,17.565,0.028378,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 00:30:00,0.174833,0.012333,-0.0175,0.064,0.0525,4e-06,0.149833,-0.001333,0.011667,0.010833,1e-06,0.040833,-0.020333,-0.012833,-3e-06,0.12215,0.068906,0.0,1.3365,0.023667,-0.0035,23.161667,16.778333,0.028018,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 01:00:00,0.187,0.029333,-0.014833,0.0655,0.059333,5e-06,0.137167,0.000833,0.023333,0.0215,2e-06,0.038167,-0.019,-0.010333,-3e-06,0.120756,0.069344,0.0,1.414,0.1275,-0.0185,22.66,16.293333,0.027698,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 01:30:00,0.246167,0.0435,-0.014,0.079667,0.077,8e-06,0.177,0.001167,0.030833,0.028333,4e-06,0.040833,-0.017833,-0.0105,-2e-06,0.1225,0.07636,0.0,1.406833,0.172167,-0.0085,22.488333,16.141667,0.027458,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 02:00:00,0.201167,0.027833,-0.014667,0.062,0.061167,6e-06,0.134167,-0.004167,0.015833,0.016333,1e-06,0.037833,-0.016333,-0.009333,-3e-06,0.10934,0.067427,0.0,1.164833,0.049833,-0.007667,22.201667,15.858333,0.027163,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 02:30:00,0.143667,0.0165,-0.013,0.0475,0.042667,7e-06,0.115333,-0.004333,0.003,0.004667,0.0,0.033667,-0.0175,-0.009667,-4e-06,0.125198,0.074711,0.0,1.072833,-0.106667,-0.003,21.883333,15.56,0.02689,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 03:00:00,0.172667,0.023333,-0.012333,0.039,0.039,5e-06,0.144,-0.0045,0.025333,0.024333,5e-06,0.032,-0.017167,-0.011,-4e-06,0.1156,0.071645,0.0,0.994833,0.0375,-0.0015,21.743333,15.43,0.026727,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 03:30:00,0.126167,0.008,-0.010667,0.031667,0.030333,5e-06,0.122667,-0.007167,0.0265,0.022333,6e-06,0.035667,-0.016833,-0.011,-3e-06,0.11742,0.073984,0.0,0.944333,0.0765,-0.010833,21.66,15.338333,0.026723,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 04:00:00,0.101,-0.0055,-0.009333,0.016833,0.024833,0.0,0.0905,-0.003167,0.0315,0.023667,1.1e-05,0.021667,-0.0095,-0.005167,-3e-06,0.144147,0.090902,0.0,0.325833,0.381333,0.012167,21.378333,14.995,0.026653,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 04:30:00,0.048,0.016,-0.0045,-0.009667,-0.006667,-9e-06,0.071167,0.000667,0.0455,0.0385,1.4e-05,0.01,-0.0065,-0.0015,-1e-06,0.23571,0.133103,0.0,-0.1255,0.644333,0.014833,20.411667,14.006667,0.026337,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 05:00:00,0.089,0.025167,-0.006,-0.001,-0.0005,-2e-06,0.049833,-0.002,0.008167,0.005167,-1e-06,0.010167,-0.0045,-0.001167,-2e-06,0.12924,0.05609,0.0,-0.3505,0.779333,0.010333,20.22,13.836667,0.025977,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 05:30:00,0.0515,0.0115,-0.0055,0.007,0.004,2e-06,0.050167,-0.002833,0.004833,0.001333,2e-06,0.014667,-0.004333,-0.002,-1e-06,0.035469,0.017205,0.0,-0.126333,0.762667,-0.007833,20.191667,13.765,0.026087,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 06:00:00,0.065,0.018167,-0.0055,0.014167,0.008,5e-06,0.06,-0.003333,0.004333,-0.000667,2e-06,0.0125,-0.004833,-0.001833,-2e-06,0.033185,0.014843,0.0,-0.190333,0.652833,-0.004167,20.105,13.758333,0.025837,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 06:30:00,0.089,0.005,-0.007333,0.011333,-0.005,-1e-06,0.1025,-0.003,0.002667,-0.007167,2e-06,0.023333,-0.006,-0.004333,-1e-06,0.026951,0.016002,0.0,0.148667,0.688667,-0.005167,20.483333,14.506667,0.02665,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 07:00:00,0.119833,-0.011333,-0.002833,0.002,-0.011,-4e-06,0.191333,-0.0155,-0.002833,0.001333,-2e-06,0.034333,0.0015,0.003833,6e-06,0.004807,0.009669,0.0,0.282667,0.808167,-0.010167,21.338333,15.25,0.027408,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 07:30:00,0.142667,0.019833,-0.012833,-0.003333,-0.016333,-1.6e-05,0.288833,-0.015,-0.012667,-0.020167,-2.3e-05,0.044667,0.004667,0.008333,1.2e-05,0.005903,0.012544,0.0,0.465167,1.184833,-0.001333,21.973333,15.751667,0.027867,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 08:00:00,0.186333,-0.051667,-0.019333,-0.009667,-0.028333,-2.7e-05,0.342167,-0.028667,-0.019833,-0.019667,-3.2e-05,0.051333,0.011833,0.016,2.4e-05,0.018952,0.032041,0.0,0.546833,1.386833,0.005667,22.645,16.485,0.028318,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 08:30:00,0.2865,0.025667,-0.025,-0.029,-0.071,-5.5e-05,0.325667,-0.029667,-0.031333,-0.060833,-5e-05,0.0605,0.017333,0.0205,3.3e-05,0.039138,0.071556,0.0,0.6285,1.9855,0.003833,23.425,17.336667,0.028563,0.0,0.0,0.0,,,,0.0,,,,0.0,,
2025-09-19 09:00:00,0.337167,-0.030167,-0.024333,-0.026,-0.061333,-5.6e-05,0.474167,-0.0415,-0.068667,-0.0745,-0.0001,0.088167,0.033,0.034,4.7e-05,0.077006,0.090802,0.0,0.893333,2.0855,-0.006667,24.576667,18.645,0.029017,0.0,0.0,0.0,,,,0.0,,,,0.0,,
