"TOA5","29298","CR1000","29298","CR1000.Std.32.03","CPU:CSAT_Licor_Logger_v23.CR1","51089","covAVG"
"TIMESTAMP","CovDATA_Avg(1)","CovDATA_Avg(2)","CovDATA_Avg(3)","CovDATA_Avg(4)","CovDATA_Avg(5)","CovDATA_Avg(6)","CovDATA_Avg(7)","CovDATA_Avg(8)","CovDATA_Avg(9)","CovDATA_Avg(10)","CovDATA_Avg(11)","CovDATA_Avg(12)","CovDATA_Avg(13)","CovDATA_Avg(14)","CovDATA_Avg(15)","CovDATA_Avg(16)","CovDATA_Avg(17)","CovDATA_Avg(18)","CovDATA_Avg(19)","CovDATA_Avg(20)","CovDATA_Avg(21)","CovDATA_Avg(22)","CovDATA_Avg(23)","CovDATA_Avg(24)","CovDATA_Avg(25)","CovDATA_Avg(26)","CovDATA_Avg(27)","CovDATA_Avg(28)","CovDATA_Avg(29)","CovDATA_Avg(30)","CovDATA_Avg(31)","CovDATA_Avg(32)","CovDATA_Avg(33)","CovDATA_Avg(34)","CovDATA_Avg(35)","CovDATA_Avg(36)","CovDATA_Avg(37)"
"TS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-09-18 12:00:00","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-1977,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 12:30:00","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.083,0.211,"NAN","NAN","NAN","NAN",18.21,30.28,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 13:00:00","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.154,0.513,"NAN","NAN","NAN","NAN",18.36,27.01,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 13:30:00","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.174,0.471,"NAN","NAN","NAN","NAN",18.6,29.38,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 14:00:00",1.066,0.044,-0.108,0.001,"NAN",-0.085,1.051,0.061,0.008,"NAN",0.055,0.208,-0.003,"NAN",0.032,0.068,"NAN",0.2,3.15,-1.481,0.007,25.42,"NAN",30.17,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 14:30:00",0.796,-0.056,-0.062,-0.002,-0.006,-0.061,0.901,0.023,0.003,0.002,0.031,0.172,-0.002,0.006,0.028,0.067,0.065,0.226,3.025,-0.717,-0.021,25.71,19.27,30.23,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 15:00:00",0.826,0.062,-0.062,0.005,-0.002,-0.084,0.731,0.008,0,-0.001,-0.001,0.141,-0.006,0.003,0.029,0.069,0.06,0.221,3.307,-0.122,-0.029,25.95,19.5,30.29,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 15:30:00",1.055,-0.029,-0.107,-0.04,-0.045,-0.125,1.12,0,-0.001,-0.01,0.006,0.191,0.016,0.02,0.048,0.122,0.128,0.305,3.788,0.158,-0.02,26.32,19.96,30.49,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 16:00:00",1.435,0.029,-0.123,-0.021,-0.02,-0.174,1.215,-0.003,-0.007,-0.002,0.001,0.229,0.003,0.009,0.047,0.081,0.081,0.29,3.982,0.094,-0.001,26.59,20.18,30.47,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 16:30:00",1.216,0.013,-0.1,0.025,0.024,-0.148,0.831,0.004,-0.006,-0.004,0.023,0.185,-0.011,-0.001,0.036,0.087,0.074,0.248,3.432,-0.088,0.005,26.49,20.06,30.3,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 17:00:00",1.182,0.158,-0.072,0.027,0.025,-0.102,1.307,0.023,-0.008,-0.003,0.016,0.204,-0.014,-0.003,0.031,0.102,0.079,0.217,3.467,-0.215,-0.016,26.52,20.1,30.11,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 17:30:00",1.013,-0.079,-0.084,0.034,0.034,-0.093,1.116,0.032,-0.016,-0.012,0.043,0.2,-0.017,-0.006,0.027,0.118,0.093,0.207,3.052,-0.942,0.009,26.5,20.06,29.86,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 18:00:00",0.727,0.047,-0.046,0.022,0.021,-0.05,0.657,0.006,-0.012,-0.005,0.019,0.115,-0.012,-0.005,0.019,0.112,0.091,0.192,2.573,-0.44,-0.029,26.5,20.06,29.9,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 18:30:00",0.761,0.041,-0.041,0.035,0.034,-0.068,0.656,0.03,-0.023,-0.016,0.03,0.119,-0.016,-0.008,0.02,0.128,0.107,0.184,2.755,-0.661,-0.016,26.48,20.03,29.83,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 19:00:00",0.656,-0.017,-0.047,0.036,0.035,-0.047,0.572,0.024,-0.01,-0.004,0.009,0.118,-0.017,-0.008,0.015,0.137,0.107,0.139,2.482,-0.802,-0.009,26.37,19.91,29.85,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 19:30:00",0.626,0.02,-0.041,0.047,0.045,-0.047,0.574,0.029,-0.019,-0.015,0.014,0.096,-0.018,-0.01,0.013,0.149,0.119,0.127,2.394,-0.726,-0.034,26.28,19.8,29.93,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 20:00:00",0.332,-0.067,-0.027,0.036,0.034,-0.03,0.267,0.005,-0.015,-0.014,0.012,0.069,-0.014,-0.008,0.009,0.147,0.117,0.109,2.022,-0.457,-0.024,26.09,19.59,29.99,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 20:30:00",0.697,-0.005,-0.05,0.046,0.049,-0.056,0.571,0.017,-0.014,-0.016,0.013,0.108,-0.018,-0.01,0.012,0.141,0.115,0.114,2.511,-0.67,-0.016,25.94,19.45,30.03,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 21:00:00",1.144,-0.118,-0.105,0.043,0.048,-0.064,1.049,0.058,-0.012,-0.017,0.032,0.219,-0.018,-0.01,0.016,0.128,0.098,0.117,3.313,-1.393,-0.033,25.65,19.19,29.55,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
"2025-09-18 21:30:00",0.831,-0.014,-0.058,0.043,0.045,-0.055,0.749,0.032,-0.003,-0.011,0.012,0.144,-0.015,-0.009,0.012,0.125,0.097,0.108,2.843,-1.179,-0.008,25.35,18.92,29.11,0,0,0,"NAN","NAN","NAN",0,"NAN","NAN","NAN",0,"NAN","NAN"
